Index,SentenceStructure,NumIndependentClauses,NumDependentClauses,HasParticipialPhrase,HasHangingParticiple,AvgSentenceLength,SentenceLengthVariance,UsesPassiveVoice,ClauseEmbeddingDepth,TypeTokenRatio,NumIdioms,SentenceStartRepetition
72,3,14,11,1,0,23.88,115.46,1,2.0,0.55,2,0.0
73,3,22,12,1,0,20.24,71.88,1,2.0,0.56,0,1.0
74,3,15,11,1,0,26.85,127.6,1,2.0,0.55,0,1.0
75,3,21,7,0,0,15.18,37.2,0,1.0,0.62,1,1.0
76,3,12,12,1,0,26.5,111.82,1,2.0,0.63,0,1.0
77,3,14,8,1,0,23.77,96.37,1,2.0,0.62,0,1.0
78,3,14,11,1,0,26.2,113.24,1,2.0,0.59,0,1.0
79,3,18,9,1,0,17.04,59.24,1,1.0,0.56,0,1.0
80,3,20,16,1,0,27.97,153.53,1,2.0,0.57,0,1.0
81,3,24,13,1,0,27.54,128.83,1,2.0,0.61,1,1.0
82,3,24,16,1,0,25.2,111.12,1,2.0,0.56,0,1.0
83,3,16,8,1,0,18.46,43.25,1,1.0,0.6,0,1.0
84,2,12,13,1,0,24.68,903.5,1,3.0,0.56,3,1.0
85,2,10,11,1,0,21.0,113.44,1,2.0,0.64,0,1.0
86,2,20,14,1,1,19.88,263.12,1,2.0,0.56,0,1.0
87,2,14,11,1,0,24.12,149.99,1,3.0,0.66,0,1.0
88,2,21,16,1,0,22.0,112.94,1,3.0,0.58,0,1.0
89,2,13,11,1,0,22.25,124.59,1,2.0,0.68,0,1.0
90,2,11,11,1,0,24.45,56.1,1,2.0,0.76,0,0.0
91,2,13,10,1,0,22.73,68.4,1,2.0,0.73,0,1.0
92,2,13,14,1,0,27.29,276.5,1,3.0,0.65,0,1.0
93,2,18,17,1,0,28.94,91.71,1,3.0,0.68,0,1.0
94,2,11,7,1,0,26.5,43.44,0,2.0,0.65,0,1.0
95,2,36,26,1,0,21.19,44.75,1,3.0,0.62,0,1.0
96,2,11,8,1,0,24.74,56.53,1,2.0,0.71,0,0.0
97,2,40,25,1,0,25.71,47.21,1,3.0,0.57,0,1.0
98,2,15,8,0,0,17.74,62.26,1,2.0,0.67,1,1.0
99,2,19,13,1,0,21.56,95.06,1,3.0,0.42,0,1.0
100,2,21,15,1,0,22.69,70.81,1,2.0,0.54,0,1.0
101,2,10,6,1,0,23.19,70.99,1,2.0,0.64,0,1.0
102,2,19,10,1,0,21.69,53.61,1,2.0,0.55,0,1.0
103,2,27,11,1,0,16.16,34.32,1,2.0,0.58,0,1.0
104,2,19,5,1,0,13.21,27.93,1,1.0,0.69,0,1.0
105,2,20,10,1,0,25.77,58.01,1,2.0,0.58,0,1.0
106,2,14,13,1,0,29.22,65.87,1,2.0,0.63,0,1.0
107,2,22,12,1,0,21.38,59.36,1,2.0,0.56,0,1.0
108,2,18,13,1,0,27.74,54.81,1,2.0,0.61,0,1.0
109,2,23,11,1,0,27.79,60.58,1,2.0,0.57,0,1.0
110,2,15,8,1,0,17.96,61.15,1,1.0,0.62,0,1.0
111,2,21,14,1,0,19.2,40.48,1,2.0,0.58,0,1.0
112,2,8,10,1,0,33.0,227.5,1,3.0,0.53,0,1.0
113,2,20,15,1,0,25.63,149.68,1,4.0,0.56,1,1.0
114,2,12,7,1,0,27.68,137.37,1,3.0,0.69,0,1.0
115,2,12,11,1,0,27.17,34.29,1,3.0,0.57,0,1.0
116,2,8,18,1,0,29.77,201.08,1,5.0,0.56,0,1.0
117,2,20,11,1,0,24.39,64.45,1,3.0,0.57,0,1.0
118,2,14,11,1,0,28.96,59.72,1,4.0,0.63,0,1.0
119,2,11,21,1,0,31.88,97.83,1,4.0,0.59,0,1.0
120,2,9,14,1,0,28.87,46.13,1,3.0,0.65,0,1.0
121,2,11,11,1,0,32.52,38.77,1,3.0,0.62,0,1.0
122,2,12,7,1,0,29.9,41.43,1,3.0,0.64,0,1.0
123,2,18,12,1,0,20.4,48.94,1,3.0,0.57,0,1.0
124,2,12,13,1,0,30.65,78.05,1,3.0,0.65,0,1.0
125,2,13,16,1,0,29.31,36.73,1,3.0,0.62,0,1.0
126,2,16,22,1,0,20.72,80.28,1,3.0,0.55,1,1.0
127,2,13,18,1,0,21.03,62.37,1,2.0,0.53,0,1.0
128,2,13,14,1,0,23.22,42.97,1,2.0,0.62,0,1.0
129,2,14,14,1,0,21.32,41.95,1,2.0,0.58,0,1.0
130,2,10,15,1,0,23.36,71.56,1,2.0,0.63,0,0.0
131,2,12,6,1,0,19.22,25.33,0,1.0,0.66,0,1.0
132,2,12,17,1,0,19.31,46.59,1,2.0,0.63,0,1.0
133,2,13,9,1,0,23.36,49.95,1,1.0,0.59,0,1.0
134,2,21,21,1,0,19.1,35.31,1,2.0,0.58,0,1.0
135,2,12,14,1,0,19.92,51.88,1,2.0,0.63,0,1.0
136,2,16,19,1,0,26.89,97.78,1,2.0,0.55,0,1.0
137,2,10,9,1,0,23.53,24.47,1,1.0,0.65,0,1.0
138,2,6,11,1,0,20.24,25.51,1,2.0,0.64,0,0.0
139,2,13,10,1,0,18.65,18.46,1,1.0,0.69,0,1.0
140,2,13,12,1,0,26.83,112.72,1,3.0,0.47,1,0.0
141,2,25,20,1,0,18.04,46.91,1,3.0,0.4,0,1.0
142,2,22,13,1,0,19.71,33.64,1,2.0,0.46,0,1.0
143,2,14,12,1,0,21.69,46.12,1,2.0,0.56,0,1.0
144,2,15,14,1,0,24.1,53.37,1,3.0,0.51,0,1.0
145,2,5,7,1,0,27.5,45.33,1,2.0,0.61,0,1.0
146,2,22,17,1,0,27.13,67.34,1,3.0,0.49,1,1.0
147,2,23,14,0,0,20.81,35.23,1,2.0,0.49,0,1.0
148,2,27,18,1,0,25.13,50.57,1,2.0,0.54,0,1.0
149,2,17,17,1,0,27.21,51.87,1,3.0,0.48,0,1.0
150,2,13,14,1,0,31.04,77.86,1,3.0,0.52,1,1.0
151,2,7,6,1,0,28.46,48.69,1,3.0,0.57,0,1.0
152,2,33,32,1,0,21.58,44.02,1,2.0,0.49,1,1.0
153,2,16,16,1,0,28.56,62.86,1,3.0,0.52,0,1.0
154,2,12,11,1,0,24.78,351.95,1,3.0,0.5,0,1.0
155,2,13,13,1,0,23.0,265.59,1,2.0,0.52,0,1.0
156,2,5,4,1,0,28.4,184.24,1,2.0,0.78,0,0.0
157,2,13,5,1,0,19.89,90.68,1,2.0,0.62,0,1.0
158,2,18,10,1,0,23.48,106.18,1,3.0,0.62,0,1.0
159,2,10,12,1,0,24.09,137.39,1,3.0,0.64,0,1.0
160,2,15,14,1,0,31.03,207.18,1,3.0,0.62,0,1.0
161,2,7,7,1,0,28.07,240.21,1,3.0,0.66,0,1.0
162,2,15,7,1,0,23.14,150.97,1,1.0,0.52,0,1.0
163,2,14,12,1,0,31.0,220.48,1,3.0,0.65,0,1.0
164,2,19,12,1,0,29.35,149.98,1,3.0,0.63,0,1.0
165,2,30,20,1,0,37.92,305.38,1,3.0,0.55,0,1.0
166,2,14,9,1,0,32.78,110.97,1,3.0,0.62,0,1.0
167,2,14,7,1,0,26.62,152.14,1,2.0,0.62,0,1.0
168,2,25,17,1,0,24.45,210.03,1,2.32,0.61,0,1.0
169,2,8,6,0,0,25.64,188.11,1,1.21,0.65,0,0.0
170,2,25,18,1,0,17.19,81.27,1,1.19,0.56,0,1.0
171,2,18,14,1,0,23.28,112.34,1,1.78,0.65,0,0.0
172,2,19,12,1,0,24.03,98.05,1,1.42,0.66,0,1.0
173,2,25,17,1,0,20.07,71.35,1,1.33,0.64,0,1.0
174,2,21,14,1,0,17.11,59.87,1,1.4,0.59,0,1.0
175,2,24,12,1,0,20.33,58.08,1,1.33,0.64,0,1.0
176,2,43,28,1,0,27.41,149.51,1,1.62,0.59,0,1.0
177,2,31,13,1,0,14.66,43.92,1,0.77,0.59,0,1.0
178,2,12,8,1,0,22.55,86.63,1,1.25,0.68,0,1.0
179,2,20,4,0,0,21.83,146.25,1,0.21,0.57,0,1.0
180,2,28,18,1,0,22.2,64.89,1,1.22,0.65,0,1.0
181,2,16,10,1,0,23.85,86.37,1,1.62,0.63,0,1.0
182,2,21,16,1,0,29.39,380.29,1,2.0,0.42,0,1.0
183,2,6,7,1,0,37.69,265.54,1,2.0,0.61,0,0.0
184,2,11,9,1,0,24.45,145.05,1,2.0,0.57,0,1.0
185,2,18,12,1,0,17.73,86.86,1,2.0,0.55,0,1.0
186,2,16,17,1,0,31.21,180.48,1,2.0,0.54,0,0.0
187,2,14,9,1,0,28.09,81.09,0,2.0,0.58,0,1.0
188,2,30,17,1,0,18.47,71.55,1,2.0,0.47,0,1.0
189,2,15,12,1,0,34.85,195.57,1,2.0,0.56,0,0.0
190,2,16,16,1,0,34.53,169.61,1,2.0,0.59,0,1.0
191,2,14,11,1,0,24.44,80.32,1,2.0,0.55,0,1.0
192,2,20,12,1,0,18.19,43.98,1,2.0,0.48,0,1.0
193,2,10,6,1,0,26.06,88.29,1,2.0,0.63,0,1.0
194,2,15,14,1,0,32.48,176.58,1,2.0,0.58,0,1.0
195,2,12,13,1,0,32.36,117.56,1,2.0,0.64,0,1.0
196,2,5,5,1,0,30.22,387.57,1,3.0,0.56,0,0.0
197,2,22,25,1,0,23.3,114.42,1,3.0,0.53,1,0.0
198,2,5,5,1,0,26.27,207.43,1,3.0,0.67,0,0.0
199,2,7,7,1,0,31.64,363.71,1,3.0,0.58,0,0.0
200,2,19,23,1,0,27.69,175.11,1,3.0,0.58,2,1.0
201,2,14,10,1,0,30.04,115.21,1,2.0,0.57,0,1.0
202,2,11,16,1,0,28.74,100.59,1,3.0,0.53,0,0.0
203,2,20,18,1,0,30.68,168.15,1,3.0,0.52,1,0.0
204,2,22,9,0,0,20.23,93.13,1,2.0,0.51,0,1.0
205,2,21,17,1,0,22.05,61.35,1,3.0,0.6,0,1.0
206,2,18,11,1,0,21.66,96.81,1,2.0,0.47,0,1.0
207,2,13,8,1,0,23.86,64.33,1,2.0,0.65,0,1.0
208,2,13,14,1,0,27.26,165.34,1,3.0,0.57,0,1.0
209,2,14,14,1,0,26.43,68.14,1,3.0,0.63,0,1.0
210,2,21,21,1,0,25.02857143,95.86443362,1,2.123809524,0.531746032,0,0.0
211,2,34,12,1,0,17.67391304,49.09515605,1,1.043478261,0.583561644,0,1.0
212,2,40,24,1,0,22.21875,159.5627585,1,1.0625,0.547505225,0,0.0
213,2,18,21,1,0,23.23076923,61.50323171,1,1.256410256,0.599458972,0,1.0
214,2,19,16,1,0,26.08571429,74.63903355,1,0.9428571429,0.617511521,0,1.0
215,2,26,20,1,0,24.73913043,54.99212427,1,1.152173913,0.545077106,0,1.0
216,2,5,6,1,0,36.63636364,243.6563193,1,1.272727273,0.663551402,0,1.0
217,2,31,14,1,0,19.91111111,39.54186869,0,0.7777777778,0.533073929,0,1.0
218,2,25,17,1,0,25.07142857,88.22848253,1,1.0,0.596848739,0,1.0
219,2,13,10,1,0,19.65217391,43.99822486,1,0.8695652174,0.636363636,0,1.0
220,2,26,26,1,0,26.11538462,51.09154792,1,0.8653846154,0.611545397,0,1.0
221,2,11,10,1,0,20.47619048,21.23747624,0,0.6666666667,0.603773585,0,1.0
222,2,22,11,1,0,24.54545455,33.94876641,1,0.7272727273,0.624242424,0,1.0
223,2,22,11,1,0,24.33333333,54.44444444,1,0.6666666667,0.640449438,0,1.0
224,2,20,26,1,0,22.6,105.9,1,2.0,0.43,2,1.0
225,2,12,13,1,0,27.5,106.1,1,2.0,0.5,0,0.0
226,2,22,20,1,0,22.3,91.4,1,2.0,0.48,0,1.0
227,2,10,14,1,0,27.9,65.9,1,3.0,0.53,0,1.0
228,2,2,3,1,0,19.5,237.5,1,2.0,0.54,0,1.0
229,2,18,9,1,0,18.3,37.9,1,2.0,0.43,0,1.0
230,2,12,8,1,0,20.0,45.0,1,2.0,0.5,0,1.0
231,2,20,8,1,0,22.3,50.6,1,2.0,0.5,0,1.0
232,2,27,13,1,0,22.8,43.7,1,2.0,0.49,0,1.0
233,2,21,16,1,0,19.8,53.6,1,2.0,0.46,0,1.0
234,2,20,19,1,0,25.9,74.9,1,2.0,0.44,0,0.0
235,2,17,9,1,0,20.0,43.2,1,2.0,0.54,0,1.0
236,2,18,23,1,0,25.4,63.2,1,3.0,0.51,0,1.0
237,2,30,13,1,0,20.9,44.0,1,2.0,0.45,0,1.0
238,2,11,7,1,0,27.29,115.31,1,2.0,0.46,1,1.0
239,2,11,8,1,0,27.79,139.95,1,2.0,0.46,0,1.0
240,2,21,7,1,1,21.71,88.67,1,1.0,0.52,0,1.0
241,2,12,11,1,0,37.65,185.07,1,2.0,0.41,0,1.0
242,2,15,12,1,0,30.07,152.92,1,2.0,0.43,0,1.0
243,2,18,5,1,0,28.91,113.05,1,1.0,0.47,0,1.0
244,2,23,7,1,0,21.6,45.92,1,1.0,0.4,0,1.0
245,2,27,9,1,0,18.53,37.81,1,1.0,0.38,0,1.0
246,2,25,11,1,0,32.75,151.23,1,2.0,0.41,0,1.0
247,2,19,13,1,0,34.25,142.58,1,2.0,0.42,0,1.0
248,2,19,12,1,0,32.58,127.58,1,2.0,0.42,0,1.0
249,2,16,8,1,0,31.33,92.34,1,1.0,0.44,0,1.0
250,2,31,11,1,0,28.02,105.12,1,1.0,0.42,0,1.0
251,2,14,9,1,0,30.22,73.82,1,2.0,0.52,0,1.0
252,2,15,14,1,0,25.0,166.44,1,2.0,0.5,0,1.0
253,2,13,12,1,0,27.28,183.02,1,2.0,0.52,0,1.0
254,2,13,5,0,0,22.0,96.15,1,1.0,0.64,0,1.0
255,2,14,15,1,0,29.1,221.79,1,2.0,0.55,0,1.0
256,2,13,10,1,0,26.39,165.29,1,1.0,0.65,0,1.0
257,2,15,16,1,0,29.23,167.09,1,2.0,0.56,0,1.0
258,2,11,13,1,0,35.32,224.91,1,2.0,0.62,0,1.0
259,2,13,13,1,0,28.35,141.08,1,2.0,0.61,0,1.0
260,2,15,9,1,0,21.83,110.29,0,1.0,0.62,1,1.0
261,2,10,9,1,0,26.63,139.65,1,2.0,0.64,0,0.0
262,2,7,8,1,0,22.0,51.76,1,1.0,0.69,0,0.0
263,2,23,25,1,0,30.94,220.88,1,2.0,0.51,0,1.0
264,2,16,13,1,0,29.45,187.07,1,2.0,0.62,0,1.0
265,2,17,14,1,0,28.32,196.59,1,2.0,0.59,0,1.0
266,2,10,8,1,0,24.1,276.63,0,2.0,0.54,0,1.0
267,2,10,12,1,0,27.18,213.26,1,3.0,0.53,0,0.0
268,2,12,9,1,0,27.9,268.09,1,3.0,0.55,0,0.0
269,2,10,13,1,0,26.74,143.14,1,3.0,0.54,0,1.0
270,1,7,5,1,0,20.16,38.81,1,2.0,0.68,0,1.0
271,2,12,19,1,0,25.16,146.37,1,3.0,0.46,0,1.0
272,2,13,7,1,0,18.57,108.09,1,2.0,0.49,0,1.0
273,2,12,13,1,0,32.04,206.4,1,3.0,0.55,0,0.0
274,2,14,23,1,0,31.1,378.63,1,3.0,0.47,0,1.0
275,2,19,25,1,0,29.86,349.43,1,3.0,0.51,0,1.0
276,2,16,12,1,0,21.85,83.42,1,3.0,0.45,0,1.0
277,2,10,6,1,0,26.43,129.69,1,3.0,0.53,0,1.0
278,2,22,6,0,0,18.67,68.44,1,2.0,0.48,0,1.0
279,2,11,13,1,0,25.67,82.39,0,3.0,0.54,0,1.0
280,2,22,15,1,0,26.67,139.26,1,2.0,0.52,4,1.0
281,2,9,14,1,0,26.83,96.23,1,3.0,0.48,1,1.0
282,2,20,8,0,0,13.39,40.45,1,1.0,0.62,1,1.0
283,2,15,17,1,0,24.09,73.84,1,3.0,0.57,0,1.0
284,2,5,4,1,0,25.6,16.24,1,2.0,0.55,0,0.0
285,2,10,11,1,0,25.24,45.96,1,2.0,0.59,0,0.0
286,2,25,21,1,0,20.74,70.49,1,3.0,0.54,3,1.0
287,2,12,16,1,0,34.54,122.47,1,2.0,0.55,0,0.0
288,2,20,14,1,0,28.74,98.63,1,2.0,0.55,1,1.0
289,2,17,14,1,0,21.0,45.53,1,2.0,0.57,0,1.0
290,2,16,13,1,0,27.41,74.37,1,2.0,0.55,0,1.0
291,2,16,15,1,0,21.58,31.38,1,2.0,0.59,0,1.0
292,2,8,9,1,0,30.53,105.78,1,2.0,0.58,0,1.0
293,2,49,27,1,0,20.75,57.45,1,2.0,0.55,2,1.0
294,2,11,3,0,0,20.21,62.59,1,1.0,0.51,0,1.0
295,2,13,10,1,0,30.13,115.94,1,2.0,0.54,0,1.0
296,2,18,5,1,0,23.26,58.24,1,1.0,0.54,0,1.0
297,2,12,12,1,0,26.08,58.49,1,2.0,0.58,0,1.0
298,2,19,3,0,0,23.59,48.85,1,0.0,0.56,0,1.0
299,2,19,10,1,0,25.69,56.24,1,1.0,0.53,0,1.0
300,2,14,10,1,0,28.83,54.19,1,2.0,0.58,0,1.0
301,2,9,5,1,0,29.14,100.71,1,2.0,0.53,0,0.0
302,2,21,9,0,0,30.63,61.87,1,1.0,0.54,0,1.0
303,2,10,5,1,0,28.33,60.52,1,1.0,0.6,0,1.0
304,2,15,9,1,0,29.08,59.46,1,1.0,0.53,0,1.0
305,2,14,5,0,0,23.89,65.43,1,1.0,0.55,0,1.0
306,2,12,9,1,0,27.67,52.36,1,2.0,0.54,0,1.0
307,2,13,8,1,0,26.19,51.77,1,1.0,0.54,0,1.0
308,2,9,10,1,0,33.3,764.72,1,2.0,0.49,0,0.0
309,2,12,14,1,0,28.74,447.17,1,2.0,0.57,0,1.0
310,2,11,16,1,0,32.37,421.92,1,2.0,0.58,0,1.0
311,2,20,6,1,0,21.0,143.71,1,1.0,0.57,0,1.0
312,2,8,9,1,0,31.53,125.66,1,2.0,0.53,0,1.0
313,2,17,16,1,0,31.15,140.52,1,2.0,0.52,0,1.0
314,2,33,16,1,0,23.24,137.79,1,2.0,0.49,0,1.0
315,2,27,11,1,0,20.32,108.08,1,1.0,0.54,0,1.0
316,2,10,16,1,0,28.62,113.3,1,2.0,0.54,0,1.0
317,2,12,9,1,0,29.66,72.75,1,2.0,0.56,0,1.0
318,2,11,6,1,0,21.52,78.21,1,1.0,0.55,0,1.0
319,2,11,13,1,0,29.33,78.8,1,2.0,0.59,0,1.0
320,2,19,13,1,0,25.56,88.32,1,2.0,0.56,0,1.0
321,2,9,5,1,0,30.42,117.12,1,1.0,0.57,0,1.0
322,2,9,7,1,0,20.81,53.19,1,2.0,0.58,0,0.0
323,2,20,21,1,1,22.78,158.96,1,3.0,0.51,1,1.0
324,2,20,17,1,0,23.65,41.95,1,2.0,0.56,1,1.0
325,2,27,19,1,0,24.13,101.16,1,2.0,0.49,1,1.0
326,2,14,14,1,0,24.5,62.93,1,2.0,0.53,1,1.0
327,2,10,7,1,0,26.29,20.14,1,2.0,0.56,0,1.0
328,2,13,12,0,0,24.0,74.64,1,2.0,0.55,0,1.0
329,2,20,21,1,0,22.85,51.46,1,2.0,0.52,0,1.0
330,2,7,10,1,0,31.82,17.33,1,3.0,0.56,0,1.0
331,2,22,15,1,0,24.54,60.69,1,2.0,0.51,0,1.0
332,2,17,13,1,0,19.8,43.04,1,2.0,0.55,0,1.0
333,2,16,14,1,0,25.33,38.09,1,2.0,0.51,0,1.0
334,2,24,31,1,0,29.13,125.21,1,3.0,0.51,0,1.0
335,2,17,17,1,0,27.56,38.19,1,2.0,0.52,0,1.0
336,2,13,10,1,0,33.79,203.28,1,3.0,0.44,2,1.0
337,2,21,16,1,0,29.68,94.05,1,3.0,0.5,0,1.0
338,2,11,7,1,0,32.5,66.48,1,2.0,0.58,0,0.0
339,2,15,7,1,0,24.05,49.07,1,2.0,0.55,0,1.0
340,2,20,15,1,0,26.66,63.76,1,2.0,0.46,0,1.0
341,2,11,6,1,0,32.52,30.86,1,2.0,0.57,0,1.0
342,2,17,10,1,0,36.22,125.83,1,3.0,0.49,0,1.0
343,2,12,11,1,0,34.26,60.11,1,3.0,0.53,0,1.0
344,2,22,11,1,0,26.39,57.95,1,2.0,0.52,0,1.0
345,2,23,10,1,0,19.15,33.43,1,2.0,0.62,0,1.0
346,2,14,10,1,0,35.75,54.05,1,3.0,0.58,0,1.0
347,2,20,11,1,0,37.09,185.04,1,2.0,0.55,0,1.0
348,2,22,13,1,0,22.86,31.01,1,2.0,0.53,0,1.0
349,2,12,13,1,0,32.28,43.06,1,2.0,0.58,0,1.0
350,2,7,12,1,0,27.0,150.76,1,3.0,0.54,1,
351,2,16,15,1,0,29.81,238.84,1,4.0,0.42,4,
352,2,5,10,1,0,23.29,82.43,1,3.0,0.57,0,
353,2,25,11,1,0,24.44,154.51,1,3.0,0.48,0,
354,2,15,6,0,0,30.48,209.48,1,2.0,0.43,1,
355,2,6,8,0,0,28.0,84.0,1,3.0,0.51,0,
356,2,27,9,1,0,24.53,170.83,1,3.0,0.46,0,
357,2,22,18,1,0,34.8,222.8,1,4.0,0.45,1,
358,2,12,14,1,0,35.15,105.42,1,3.0,0.5,0,
359,2,7,6,1,0,25.38,52.32,1,3.0,0.58,0,
360,2,22,14,1,0,34.86,143.34,1,3.0,0.45,1,
361,2,4,5,1,0,29.4,65.04,1,2.0,0.56,0,
362,2,14,3,0,0,27.76,148.94,1,2.0,0.48,0,
363,2,12,7,1,0,22.42,49.82,1,2.0,0.47,0,
364,2,15,15,1,0,23.9,126.67,1,2.0,0.45,0,0.0
365,2,22,13,1,0,20.63,53.56,1,2.0,0.56,0,1.0
366,2,10,7,1,0,22.82,89.06,1,2.0,0.67,0,0.0
367,2,14,13,1,0,26.56,14.18,1,2.0,0.48,0,1.0
368,2,13,12,1,0,27.84,50.8,1,2.0,0.53,0,1.0
369,2,20,13,1,0,24.76,36.89,1,2.0,0.61,0,1.0
370,2,17,7,0,0,22.5,62.39,1,2.0,0.56,0,1.0
371,2,20,15,1,0,27.06,59.91,1,2.0,0.52,0,1.0
372,2,26,13,1,0,22.82,38.96,1,2.0,0.55,0,1.0
373,2,20,5,0,0,16.56,19.26,1,1.0,0.64,0,1.0
374,2,10,6,1,0,26.81,52.71,1,2.0,0.62,0,0.0
375,2,25,6,1,0,19.23,35.46,1,1.0,0.54,0,1.0
376,2,23,14,1,0,21.78,57.65,1,2.0,0.53,0,1.0
377,2,13,8,1,0,26.33,33.16,1,2.0,0.54,0,1.0
378,3,9,8,1,0,27.4,488.84,1,2.0,0.464,0,0.0
379,3,15,10,1,0,18.96,280.52,1,2.0,0.489,0,1.0
